,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,default
0,67,male,2,own,,little,1169,6,radio/TV,yes
1,22,female,2,own,little,moderate,5951,48,radio/TV,no
2,49,male,1,own,little,,2096,12,education,yes
3,45,male,2,free,little,little,7882,42,furniture/equipment,no
4,53,male,2,free,little,little,4870,24,car,no
5,35,male,1,free,,,9055,36,education,no
6,53,male,2,own,quite rich,,2835,24,furniture/equipment,no
7,35,male,3,rent,little,moderate,6948,36,car,yes
8,61,male,1,own,rich,,3059,12,radio/TV,no
9,28,male,3,own,little,moderate,5234,30,car,no
10,25,female,2,rent,little,moderate,1295,12,car,yes
11,24,female,2,rent,little,little,4308,48,business,no
12,22,female,2,own,little,moderate,1567,12,radio/TV,yes
13,60,male,1,own,little,little,1199,24,car,yes
14,28,female,2,rent,little,little,1403,15,car,no
15,32,female,1,own,moderate,little,1282,24,radio/TV,yes
16,53,male,2,own,,,2424,24,radio/TV,yes
17,25,male,2,own,,little,8072,30,business,no
18,44,female,3,free,little,moderate,12579,24,car,no
19,31,male,2,own,quite rich,,3430,24,radio/TV,no
20,48,male,2,own,little,,2134,9,car,no
21,44,male,2,rent,quite rich,little,2647,6,radio/TV,yes
22,48,male,1,rent,little,little,2241,10,car,no
23,44,male,2,own,moderate,moderate,1804,12,car,no
24,26,male,2,own,,,2069,10,furniture/equipment,yes
25,36,male,1,own,little,little,1374,6,furniture/equipment,no
26,39,male,1,own,little,,426,6,radio/TV,yes
27,42,female,2,rent,rich,rich,409,12,radio/TV,no
28,34,male,2,own,little,moderate,2415,7,radio/TV,no
29,63,male,2,own,little,little,6836,60,business,no
30,36,male,2,own,rich,moderate,1913,18,business,no
31,27,male,2,own,little,little,4020,24,furniture/equipment,yes
32,30,male,2,own,moderate,moderate,5866,18,car,no
33,57,male,1,rent,,,1264,12,business,no
34,33,female,3,own,little,rich,1474,12,furniture/equipment,yes
35,25,male,1,own,little,moderate,4746,45,radio/TV,no
36,31,male,2,free,little,,6110,48,education,no
37,37,male,2,own,little,rich,2100,18,radio/TV,no
38,37,male,2,own,little,rich,1225,10,domestic appliances,no
39,24,male,2,own,little,moderate,458,9,radio/TV,yes
40,30,male,3,own,quite rich,,2333,30,radio/TV,no
41,26,male,2,own,quite rich,moderate,1158,12,radio/TV,no
42,44,male,1,own,little,moderate,6204,18,repairs,yes
43,24,male,2,rent,moderate,little,6187,30,car,no
44,58,female,1,free,little,little,6143,48,car,yes
45,35,female,3,own,little,,1393,11,car,no
46,39,male,2,own,quite rich,,2299,36,radio/TV,no
47,23,female,0,rent,quite rich,little,1352,6,car,no
48,39,male,1,own,little,,7228,11,car,yes
49,28,female,2,own,moderate,,2073,12,radio/TV,yes
