,default
424,0
434,0
244,0
366,0
282,0
260,0
508,1
573,0
139,0
670,0
454,0
23,0
4,0
448,0
225,1
408,0
213,0
28,0
703,1
2,1
551,1
501,0
607,0
637,1
81,0
415,0
6,0
42,1
688,1
585,1
819,0
945,0
202,0
588,0
697,0
22,0
113,0
545,0
245,1
811,0
503,0
350,0
738,1
516,1
115,0
383,0
397,0
619,0
318,0
307,1
852,0
112,0
779,0
900,0
816,0
907,0
126,0
531,1
453,0
696,0
624,0
502,1
877,0
995,0
275,0
548,0
858,0
960,0
317,1
946,1
735,0
915,0
102,0
554,0
247,0
482,0
871,1
564,0
324,0
787,1
772,1
620,0
334,1
39,1
252,0
286,1
24,1
577,0
417,1
52,0
238,1
636,0
790,1
76,0
702,1
520,0
611,0
820,1
101,0
136,0
662,0
739,0
365,1
120,1
284,1
197,0
665,0
793,1
60,0
414,1
628,0
292,1
940,0
209,0
179,0
149,0
969,1
882,0
357,0
137,0
899,0
267,0
311,0
766,1
360,0
617,0
110,0
654,0
808,0
926,1
861,0
621,0
525,1
798,1
560,1
723,0
46,0
866,1
645,0
593,0
321,0
498,0
535,1
261,0
993,0
326,0
614,1
27,0
714,0
682,0
331,1
21,1
587,0
185,1
87,0
205,0
190,0
730,0
924,1
57,0
130,0
62,1
613,1
83,1
191,0
405,0
737,0
242,0
580,0
667,1
686,0
0,1
398,0
306,0
1,0
578,0
800,0
373,0
341,1
346,0
902,0
528,0
635,0
411,0
818,0
310,0
547,0
96,0
65,1
451,1
749,0
499,0
266,0
669,0
953,1
731,0
843,0
69,1
863,1
709,0
